sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
PNNP;0;10;100000000;2e-12;3200;3;1583;90;1;1818;500;0;235;295,0
PNNP;0;10;100000000;2e-12;3200;5;1748;500;0;1934;500;0;186;500,0
PNNP;0;10;100000000;2e-12;3200;8;1856;500;0;2016;500;0;160;500,0
PNNP;0;10;100000000;2e-12;3200;13;1945;500;0;2085;500;0;140;500,0
PNNP;0;10;100000000;2e-12;3200;21;2014;500;0;2144;500;0;130;500,0
PNNP;0;10;100000000;2e-12;3200;34;2088;500;0;2211;500;0;123;500,0
PNNP;0;10;100000000;2e-12;3200;55;2056;500;0;2319;500;0;263;500,0
PNNP;0;10;100000000;2e-12;3200;89;2404;500;0;2538;500;0;134;500,0
PNNP;0;10;100000000;2e-12;3200;128;2707;500;0;2786;500;0;79;500,0
PNNP;0;10;100000000;2e-12;3200;255;3395;500;0;3236;500;0;-159;500,0
PNNP;0;10;100000000;2e-12;6400;1;1109;500;0;1488;500;0;379;500,0
PNNP;0;10;100000000;2e-12;6400;2;1440;180;1;1740;500;0;300;340,0
PNNP;0;10;100000000;2e-12;6400;3;1607;500;0;1861;500;0;254;500,0
PNNP;0;10;100000000;2e-12;6400;5;1772;90;1;1972;496;1;200;293,0
PNNP;0;10;100000000;2e-12;6400;8;1887;90;1;2046;500;0;159;295,0
PNNP;0;10;100000000;2e-12;6400;13;1993;541;1;2118;500;0;125;520,5
PNNP;0;10;100000000;2e-12;6400;21;2073;226;1;2167;45;1;94;135,5
PNNP;0;10;100000000;2e-12;6400;34;2151;500;0;2229;135;1;78;317,5
PNNP;0;10;100000000;2e-12;6400;55;2298;500;0;2307;500;0;9;500,0
PNNP;0;10;100000000;2e-12;6400;89;2473;500;0;2579;500;0;106;500,0
PNNP;0;10;100000000;2e-12;6400;128;2694;500;0;2604;500;0;-90;500,0
PNNP;0;10;100000000;2e-12;6400;255;3113;500;0;3168;500;0;55;500,0
PNNP;0;10;100000000;2e-12;12800;1;1734;500;0;2010;500;0;276;500,0
PNNP;0;10;100000000;2e-12;12800;2;1890;90;1;2077;500;0;187;295,0
PNNP;0;10;100000000;2e-12;12800;3;1964;90;1;2134;90;1;170;90,0
PNNP;0;10;100000000;2e-12;12800;5;2074;135;1;2184;361;1;110;248,0
PNNP;0;10;100000000;2e-12;12800;8;2146;500;0;2266;500;0;120;500,0
PNNP;0;10;100000000;2e-12;12800;13;2260;500;0;2350;500;0;90;500,0
PNNP;0;10;100000000;2e-12;12800;21;2499;500;0;2471;500;0;-28;500,0
PNNP;0;10;100000000;2e-12;12800;34;2721;500;0;2672;500;0;-49;500,0
PNNP;0;10;100000000;2e-12;12800;55;2954;500;0;3321;500;0;367;500,0
PNNP;0;10;100000000;2e-12;12800;89;3698;500;0;3747;500;0;49;500,0
PNNP;0;10;100000000;2e-12;12800;128;4063;179;1;4068;313;1;5;246,0
PNNP;0;10;100000000;2e-12;12800;255;4094;44;1;4095;45;1;1;44,5
PNNP;0;10;100000000;2e-12;25600;1;1689;90;1;1966;500;0;277;295,0
PNNP;0;10;100000000;2e-12;25600;2;1866;90;1;2088;451;1;222;270,5
PNNP;0;10;100000000;2e-12;25600;3;1954;225;1;2140;496;1;186;360,5
PNNP;0;10;100000000;2e-12;25600;5;2050;225;1;2192;500;0;142;362,5
PNNP;0;10;100000000;2e-12;25600;8;2130;225;1;2249;500;0;119;362,5
PNNP;0;10;100000000;2e-12;25600;13;2290;500;0;2328;500;0;38;500,0
